rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
5872.26;3482.56;4074.81;611.72;374207.01;4889.78;3806.29;4074.81
6489.28;3482.56;4179.40;716.60;513508.40;5015.28;3927.24;4179.40
6794.76;3482.56;4129.23;710.96;505468.10;4955.07;3928.88;4129.23
6809.44;3482.56;4193.47;701.65;492315.02;5032.17;3965.55;4193.47
5985.71;3482.56;4109.13;672.44;452175.06;4930.95;3834.73;4109.13
5946.72;3482.56;4154.02;701.93;492698.71;4984.83;3842.84;4154.02
5945.28;3482.56;4126.49;642.41;412694.95;4951.79;3834.30;4126.49
6667.74;3482.56;4231.00;765.90;586595.57;5077.19;3971.09;4231.00
5981.64;3482.56;4164.41;697.26;486177.99;4997.30;3851.90;4164.41
6118.85;3482.56;4192.48;716.95;514018.70;5030.98;3883.47;4192.48
6402.60;3482.56;4102.66;687.67;472892.94;4923.19;3881.43;4102.66
6096.38;3482.56;4183.17;743.27;552451.82;5019.80;3876.80;4183.17
7025.56;3482.56;4378.04;633.20;400940.45;5253.65;4081.88;4378.04
7501.81;3482.56;4163.54;729.04;531492.06;4996.25;3993.68;4163.54
6697.34;3482.56;4224.89;765.14;585445.55;5069.87;3971.19;4224.89
5916.04;3482.56;4151.02;684.46;468492.31;4981.23;3836.60;4151.02
5897.85;3482.56;4158.76;643.92;414626.66;4990.52;3835.36;4158.76
6076.15;3482.56;4307.18;689.39;475255.23;5168.61;3905.62;4307.18
6566.26;3482.56;4287.72;744.31;554000.21;5145.27;3984.70;4287.72
5916.22;3482.56;4333.30;740.10;547754.93;5199.96;3867.52;4333.30
6195.36;3482.56;4302.36;729.34;531930.98;5162.84;3929.72;4302.36
6865.21;3482.56;4344.88;755.13;570214.67;5213.86;4047.56;4344.88
6836.20;3482.56;4168.34;702.95;494143.45;5002.01;3954.05;4168.34
6737.43;3482.56;4253.93;836.84;700302.95;5104.71;3989.68;4253.93
6595.97;3482.56;4143.93;683.39;467022.93;4972.72;3920.39;4143.93
6623.29;3482.56;4215.65;712.19;507209.55;5058.78;3958.93;4215.65
6839.63;3482.56;4193.48;734.63;539681.34;5032.17;3968.15;4193.48
6016.41;3482.56;4112.35;636.01;404505.67;4934.81;3840.31;4112.35
5691.85;3482.56;4122.32;647.07;418705.89;4946.79;3786.26;4122.32
7377.41;3482.56;4232.48;794.79;631698.36;5078.97;4030.63;4232.48
5842.42;3421.46;4174.26;692.68;479804.91;5009.11;3797.51;4174.26
6249.76;3421.46;4216.83;732.12;535997.61;5060.20;3886.87;4216.83
6356.89;3421.46;4388.55;710.42;504697.04;5266.26;3957.31;4388.55
5995.19;3421.46;4192.08;699.82;489741.51;5030.50;3833.76;4192.08
6598.69;3421.46;4147.11;714.98;511192.64;4976.53;3901.61;4147.11
6506.41;3421.46;4115.74;726.91;528398.31;4938.89;3876.69;4115.74
7098.63;3421.46;4148.91;741.07;549177.85;4978.70;3944.28;4148.91
6177.98;3346.76;4195.13;728.92;531319.08;5034.16;3836.15;4195.13
6228.32;3346.76;4417.70;790.19;624392.39;5301.23;3895.11;4417.70
6160.14;3346.76;4211.08;772.20;596287.88;5053.30;3837.60;4211.08
6483.52;3346.76;4203.49;754.68;569546.85;5044.19;3887.60;4203.49
6934.94;3346.76;4155.67;803.73;645986.81;4986.81;3913.77;4155.67
7169.45;3346.76;4637.41;801.64;642623.57;5564.89;4164.65;4637.41
6440.10;3346.76;4282.15;831.52;691427.19;5138.58;3910.92;4282.15
5807.51;3346.76;4021.25;691.18;477727.05;4825.50;3717.57;4021.25
5580.70;3346.76;3986.46;670.66;449788.81;4783.75;3666.54;3986.46
7382.24;3346.76;4034.31;724.89;525464.59;4841.17;3868.61;4034.31
6067.40;3346.76;3996.23;710.43;504715.38;4795.48;3745.61;3996.23
6034.38;3346.76;4142.23;752.75;566638.73;4970.68;3793.95;4142.23
6921.65;3346.76;4612.68;848.75;720383.06;5535.21;4106.89;4612.68
6567.43;3346.76;4490.07;789.32;623021.42;5388.09;3995.83;4490.07
6054.41;3346.76;4270.35;736.18;541967.31;5124.42;3828.21;4270.35
7123.03;3346.76;4326.52;812.37;659944.13;5191.83;4023.36;4326.52
6538.34;3346.76;4082.98;776.82;603441.69;4899.57;3838.13;4082.98
5549.62;3346.76;3941.22;624.30;389750.13;4729.47;3649.89;3941.22
6542.91;3346.76;4727.96;743.05;552118.47;5673.55;4008.35;4727.96
6170.83;3346.76;4538.51;765.57;586097.44;5446.21;3875.80;4538.51
6247.79;3346.76;3996.73;695.41;483595.07;4796.08;3765.93;3996.73
6543.04;3346.76;4588.81;728.86;531232.27;5506.57;4005.51;4588.81
6439.97;3346.76;4477.21;761.77;580300.49;5372.65;3961.48;4477.21
6311.73;3346.76;4720.31;702.31;493246.16;5664.37;3905.49;4720.31
6237.32;3346.76;4538.56;828.64;686646.56;5446.27;3901.74;4538.56
6330.83;3346.76;4313.31;792.73;628420.42;5175.97;3900.03;4313.31
6382.34;3346.76;4657.85;746.37;557068.95;5589.42;3949.60;4657.85
6977.35;3346.76;4576.69;746.56;557351.92;5492.03;4107.74;4576.69
6488.14;3346.76;4533.39;859.50;738745.43;5440.06;3982.99;4533.39
6509.50;3346.76;4072.43;694.56;482406.81;4886.91;3829.90;4072.43
