rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
6443.48;3346.76;4061.56;738.00;544641.68;4873.87;3817.79;4061.56
6151.40;3346.76;3982.38;688.80;474439.26;4778.86;3748.98;3982.38
6468.29;3346.76;4378.41;749.45;561674.84;5254.09;3946.14;4378.41
6648.52;3346.76;4478.22;796.00;633616.03;5373.87;4011.29;4478.22
6911.63;3346.76;4304.51;833.80;695226.80;5165.41;3988.25;4304.51
6530.04;3346.76;4424.29;884.54;782407.23;5309.15;3971.50;4424.29
6259.32;3346.76;4553.60;762.03;580684.99;5464.32;3909.24;4553.60
6516.94;3346.76;4191.22;817.77;668742.04;5029.46;3886.86;4191.22
6062.68;3346.76;4161.66;718.59;516372.06;4993.99;3804.87;4161.66
6283.75;3346.76;4173.64;689.75;475748.97;5008.37;3846.54;4173.64
6310.34;3346.76;4126.93;850.65;723606.08;4952.32;3832.01;4126.93
6259.65;3346.76;4411.95;743.32;552520.62;5294.34;3903.26;4411.95
6698.17;3346.76;4681.07;819.13;670972.04;5617.28;4061.77;4681.07
6829.12;3346.76;4299.76;948.43;899522.81;5159.71;3975.75;4299.76
5765.60;3346.76;4037.15;669.21;447840.28;4844.58;3714.64;4037.15
5936.53;3346.76;4155.79;736.97;543131.01;4986.95;3778.18;4155.79
7119.82;3346.76;4400.75;856.47;733540.57;5280.91;4059.58;4400.75
6768.15;3346.76;4113.15;758.44;575232.57;4935.77;3875.69;4113.15
6505.74;3346.76;4225.36;796.22;633965.13;5070.43;3899.76;4225.36
8350.70;4195.27;6709.94;762.00;580643.91;8051.93;4653.17;6709.94
7042.25;4195.27;5339.06;618.01;381933.68;6406.87;4621.96;5339.06
7351.77;4187.14;5150.03;686.49;471265.41;6180.04;4699.58;5150.03
6569.66;4078.84;4929.06;680.83;463528.90;5914.87;4418.18;4929.06
6613.83;4055.06;4834.76;649.91;422388.13;5801.71;4410.98;4834.76
6818.94;3880.20;4712.00;731.67;535340.08;5654.40;4339.95;4712.00
5958.19;3797.47;4628.62;595.30;354380.32;5554.34;4049.93;4628.62
6671.82;3797.47;4483.56;633.99;401944.22;5380.27;4202.41;4483.56
6125.70;3797.47;4512.97;629.50;396271.50;5415.56;4112.53;4512.97
7009.71;3797.47;4535.59;663.74;440554.90;5442.71;4264.96;4535.59
5968.00;3685.90;4494.99;656.50;430994.79;5393.98;4001.19;4494.99
6457.56;3685.90;4438.25;731.98;535794.56;5325.90;4107.53;4438.25
6775.59;3685.90;4439.68;659.54;434994.15;5327.61;4153.15;4439.68
6786.98;3685.90;4495.76;765.07;585336.71;5394.91;4177.94;4495.76
6878.27;3604.99;4424.02;702.66;493734.66;5308.82;4128.74;4424.02
6908.29;3604.99;4523.22;702.72;493810.24;5427.86;4174.94;4523.22
7372.89;3604.99;4366.05;769.57;592239.60;5239.26;4145.03;4366.05
6759.63;3604.99;4309.62;775.46;601331.35;5171.54;4061.73;4309.62
6531.35;3447.46;4412.03;720.22;518722.20;5294.43;4010.42;4412.03
6202.33;3447.46;4350.53;640.70;410494.05;5220.64;3926.20;4350.53
6722.01;3447.46;4226.65;768.65;590830.20;5071.98;3962.69;4226.65
6824.55;3447.46;4251.97;791.62;626661.30;5102.37;3986.03;4251.97
6059.79;3447.46;4283.16;695.87;484229.54;5139.79;3880.21;4283.16
6432.00;3447.46;4286.38;751.06;564096.75;5143.66;3951.19;4286.38
5611.90;3447.46;4241.59;635.14;403404.21;5089.91;3749.97;4241.59
6133.88;3447.46;4371.14;657.56;432389.82;5245.36;3913.04;4371.14
6543.44;3447.46;4235.79;726.92;528418.47;5082.95;3946.39;4235.79
6463.47;3447.46;4291.66;726.07;527183.37;5149.99;3958.02;4291.66
5910.09;3447.46;4133.66;669.22;447854.11;4960.40;3814.31;4133.66
7762.45;3447.46;4336.39;859.67;739038.04;5203.67;4111.36;4336.39
6048.99;3447.46;4321.60;740.28;548009.11;5185.92;3884.22;4321.60
6104.97;3447.46;4414.68;665.74;443212.96;5297.62;3909.44;4414.68
5823.49;3447.46;4255.03;693.78;481329.92;5106.03;3816.86;4255.03
7623.14;3447.46;4355.22;839.01;703937.31;5226.26;4113.26;4355.22
6933.07;3447.46;4283.79;728.30;530424.77;5140.54;4013.33;4283.79
6180.85;3447.46;4346.83;714.11;509946.27;5216.20;3920.51;4346.83
6324.23;3447.46;4126.03;684.58;468644.52;4951.23;3871.29;4126.03
5893.38;3386.36;4193.31;696.51;485126.05;5031.98;3795.24;4193.31
6801.36;3386.36;4616.68;773.16;597769.08;5540.01;4096.70;4616.68
5759.07;3386.36;4174.13;661.58;437694.45;5008.96;3759.19;4174.13
6180.38;3386.36;4202.35;722.53;522054.19;5042.82;3855.63;4202.35
5873.44;3386.36;4102.12;677.47;458959.73;4922.55;3770.60;4102.12
6582.37;3386.36;4342.03;755.69;571073.09;5210.44;3971.59;4342.03
5608.37;3386.36;4118.75;639.87;409433.74;4942.50;3713.74;4118.75
6217.56;3386.36;4074.52;661.21;437199.60;4889.42;3812.84;4074.52
6788.60;3386.36;4127.63;775.99;602159.81;4953.16;3897.66;4127.63
5639.07;3386.36;4253.99;675.20;455894.00;5104.79;3721.04;4253.99
7012.53;3386.36;4275.10;787.03;619410.91;5130.11;3997.50;4275.10
5873.44;3386.36;4097.90;699.48;489277.44;4917.48;3769.46;4097.90
6527.23;3386.36;4264.64;784.59;615586.42;5117.57;3933.55;4264.64
6593.41;3386.36;4223.82;814.12;662796.83;5068.59;3925.27;4223.82
6788.60;3386.36;4212.36;762.41;581268.43;5054.84;3942.25;4212.36
5771.69;3386.36;4180.66;690.03;476143.20;5016.79;3763.23;4180.66
6360.44;3386.36;4247.10;780.58;609305.89;5096.52;3901.14;4247.10
6198.30;3386.36;4273.47;707.40;500418.64;5128.16;3879.56;4273.47
6507.71;3386.36;4169.07;769.50;592136.18;5002.88;3890.00;4169.07
6802.47;3386.36;4113.36;739.26;546500.52;4936.03;3890.95;4113.36
6644.36;3386.36;4247.95;754.76;569668.16;5097.54;3942.49;4247.95
6200.64;3386.36;4267.12;709.01;502695.34;5120.54;3878.37;4267.12
5829.43;3386.36;4158.93;701.06;491481.60;4990.71;3774.25;4158.93
7419.71;3386.36;4253.25;729.92;532788.71;5103.90;4020.36;4253.25
5929.49;3386.36;4331.55;749.61;561909.42;5197.87;3819.12;4331.55
6200.25;3386.36;4268.86;721.28;520251.05;5122.63;3878.75;4268.86
6267.10;3386.36;4179.78;711.77;506615.85;5015.73;3862.02;4179.78
6300.53;3386.36;3990.56;631.64;398964.99;4788.68;3781.81;3990.56
5841.32;3386.36;4198.80;691.88;478692.55;5038.56;3783.43;4198.80
6397.37;3386.36;4203.03;753.57;567870.58;5043.63;3890.18;4203.03
5489.79;3386.36;4266.95;629.87;396739.03;5120.34;3652.41;4266.95
6246.99;3386.36;4243.43;730.21;533200.86;5092.12;3880.39;4243.43
6678.99;3386.36;4225.39;847.12;717615.32;5070.46;3936.41;4225.39
6802.85;3386.36;4235.50;813.61;661968.69;5082.60;3955.32;4235.50
6910.12;3386.36;4294.30;743.22;552382.33;5153.16;3996.19;4294.30
6251.90;3386.36;4346.58;720.20;518685.88;5215.89;3908.47;4346.58
6767.83;3386.36;4261.49;690.78;477177.28;5113.79;3963.90;4261.49
6814.53;3386.36;4404.12;767.11;588464.07;5284.94;4032.20;4404.12
6827.62;3386.36;4365.19;699.00;488602.10;5238.23;4018.15;4365.19
5999.97;3386.36;4300.03;726.98;528503.05;5160.04;3837.80;4300.03
6763.11;3386.36;4244.44;722.37;521817.08;5093.33;3955.23;4244.44
6419.97;3386.36;4276.11;750.39;563091.53;5131.33;3921.17;4276.11
6785.85;3386.36;4153.40;837.29;701054.93;4984.08;3911.36;4153.40
6167.75;3386.36;4179.73;736.01;541704.98;5015.67;3846.12;4179.73
5792.34;3386.36;4287.50;700.53;490740.82;5145.01;3774.00;4287.50
5939.36;3386.36;4300.72;669.01;447568.33;5160.86;3820.76;4300.72
6405.89;3386.36;4275.12;783.30;613564.53;5130.14;3918.48;4275.12
7476.74;3386.36;4347.94;816.18;666154.11;5217.52;4080.69;4347.94
6213.16;3346.76;4339.69;740.81;548804.15;5207.63;3879.69;4339.69
6918.71;3346.76;4219.81;699.67;489534.29;5063.77;3946.80;4219.81
6410.88;3346.76;4285.13;609.32;371275.84;5142.16;3906.81;4285.13
6256.76;3346.76;4384.73;756.98;573014.80;5261.67;3898.50;4384.73
6629.35;3346.76;4308.01;786.14;618018.24;5169.61;3951.23;4308.01
5847.83;3346.76;4178.19;705.02;497051.39;5013.82;3762.07;4178.19
6734.63;3346.76;4198.01;709.49;503382.80;5037.61;3916.25;4198.01
6092.81;3346.76;4201.40;693.18;480502.36;5041.68;3821.72;4201.40
5701.75;3346.76;4169.81;643.12;413609.46;5003.77;3721.76;4169.81
6694.25;3346.76;4211.24;725.47;526305.75;5053.49;3918.01;4211.24
6514.90;3346.76;4217.64;687.89;473187.41;5061.17;3897.86;4217.64
6598.81;3346.76;4222.22;738.28;545061.43;5066.67;3911.16;4222.22
7252.45;3346.76;4266.71;793.64;629866.76;5120.05;4003.78;4266.71
6903.38;3346.76;4272.43;782.27;611939.52;5126.91;3971.79;4272.43
5623.35;3346.76;4247.50;697.78;486901.86;5097.00;3691.35;4247.50
5664.79;3346.76;4329.42;657.84;432752.62;5195.31;3692.24;4329.42
5711.47;3346.76;4220.08;681.12;463925.03;5064.09;3725.85;4220.08
6451.75;3346.76;4176.71;705.33;497489.67;5012.05;3871.97;4176.71
6153.75;3346.76;4148.31;691.07;477572.55;4977.97;3816.70;4148.31
6925.18;3346.76;4252.54;668.00;446226.86;5103.04;3964.29;4252.54
5653.49;3346.76;4065.33;711.92;506825.83;4878.40;3697.45;4065.33
6960.51;3346.76;4318.08;808.13;653069.63;5181.69;4000.63;4318.08
6551.23;3346.76;4235.05;803.78;646057.81;5082.06;3910.21;4235.05
6718.77;3346.76;4288.38;806.13;649849.12;5146.05;3956.08;4288.38
6429.54;3346.76;4043.76;742.90;551896.57;4852.52;3807.49;4043.76
6010.45;3346.76;4084.34;666.43;444125.39;4901.21;3771.53;4084.34
5719.59;3346.76;4186.57;696.09;484538.24;5023.88;3727.88;4186.57
6025.05;3346.76;4161.49;733.45;537955.82;4993.78;3797.62;4161.49
6512.95;3346.76;4368.44;730.33;533382.86;5242.13;3952.20;4368.44
7051.37;3346.76;4152.58;833.58;694858.29;4983.10;3921.71;4152.58
6544.99;3346.76;4207.12;771.45;595132.11;5048.55;3897.47;4207.12
6913.55;3346.76;4236.68;736.79;542858.22;5084.01;3954.99;4236.68
6291.59;3346.76;4152.64;663.68;440474.73;4983.17;3839.73;4152.64
5762.40;3346.76;4324.14;640.07;409684.71;5188.97;3736.44;4324.14
7031.56;3346.76;4272.45;771.53;595255.61;5126.94;3985.77;4272.45
5958.55;3346.76;4251.05;755.21;570336.71;5101.27;3800.78;4251.05
6211.18;3346.76;4133.34;765.16;585473.92;4960.01;3820.40;4133.34
5634.46;3346.76;4237.22;754.35;569048.52;5084.66;3697.15;4237.22
5686.21;3346.76;4213.64;645.50;416664.03;5056.36;3717.54;4213.64
6597.76;3346.76;4169.14;720.75;519483.44;5002.97;3886.79;4169.14
6375.68;3346.76;4181.40;671.98;451554.86;5017.68;3863.30;4181.40
6307.22;3346.76;4130.19;677.52;459038.64;4956.23;3832.93;4130.19
5632.25;3346.76;4288.59;643.18;413679.39;5146.31;3687.38;4288.59
6426.15;3346.76;4182.43;702.26;493169.98;5018.92;3870.88;4182.43
6574.22;3346.76;4352.20;743.37;552597.82;5222.64;3958.34;4352.20
6608.77;3346.76;4309.60;743.20;552350.46;5171.52;3948.65;4309.60
6520.73;3346.76;4344.22;686.11;470746.36;5213.06;3946.04;4344.22
6168.33;3346.76;4320.58;723.11;522883.31;5184.69;3865.16;4320.58
6827.45;3346.76;4378.93;754.29;568958.59;5254.71;4009.74;4378.93
5853.99;3346.76;4363.96;710.41;504676.24;5236.76;3768.13;4363.96
5707.61;3346.76;4195.21;699.86;489800.41;5034.26;3724.51;4195.21
6819.19;3346.76;4343.91;711.05;505593.71;5212.69;3993.93;4343.91
5504.46;3346.76;4162.38;671.43;450819.80;4994.86;3656.46;4162.38
6713.51;3346.76;4309.32;724.62;525067.53;5171.19;3964.26;4309.32
6241.36;3346.76;4234.25;717.93;515429.04;5081.10;3859.80;4234.25
6800.76;3346.76;4466.28;798.94;638304.63;5359.53;4037.91;4466.28
6457.43;3346.76;4379.04;707.62;500731.15;5254.85;3944.05;4379.04
6707.08;3346.76;4192.87;757.27;573464.59;5031.44;3910.66;4192.87
7021.48;3346.76;4390.17;764.21;584021.98;5268.20;4042.00;4390.17
7020.91;3346.76;4348.44;692.84;480021.37;5218.12;4022.47;4348.44
6005.43;3346.76;4064.63;730.12;533081.74;4877.55;3763.94;4064.63
6313.78;3346.76;4258.31;707.82;501015.50;5109.97;3880.62;4258.31
6173.79;3346.76;4171.01;725.31;526075.23;5005.21;3827.69;4171.01
6351.30;3346.76;4119.39;728.36;530502.28;4943.27;3834.18;4119.39
6009.09;3346.76;4134.10;699.78;489690.13;4960.92;3786.90;4134.10
5640.44;3346.76;4157.56;707.45;500483.03;4989.07;3702.91;4157.56
5765.47;3346.76;4228.85;702.59;493627.53;5074.62;3743.34;4228.85
6153.45;3346.76;4153.86;697.03;485853.75;4984.64;3818.54;4153.86
5738.66;3346.76;4210.44;640.15;409789.59;5052.53;3734.53;4210.44
6044.71;3346.76;4112.95;707.20;500132.49;4935.54;3786.69;4112.95
5567.77;3346.76;4092.58;648.06;419976.32;4911.10;3678.76;4092.58
5884.18;3346.76;4131.24;747.80;559204.93;4957.49;3761.48;4131.24
5868.72;3346.76;4223.94;673.34;453385.05;5068.73;3773.41;4223.94
6239.89;3346.76;4171.10;683.31;466907.79;5005.31;3838.69;4171.10
6374.88;3346.76;4050.61;679.94;462314.71;4860.73;3805.28;4050.61
6231.68;3346.76;4187.38;741.01;549097.95;5024.86;3843.01;4187.38
5403.41;3346.76;4231.73;648.45;420486.44;5078.07;3592.49;4231.73
6044.06;3346.76;4228.98;775.75;601782.47;5074.77;3817.88;4228.98
5973.51;3346.76;4383.62;699.32;489049.66;5260.35;3811.86;4383.62
6699.50;3346.76;4184.94;675.32;456059.89;5021.93;3905.95;4184.94
6561.15;3346.76;4292.90;771.71;595532.61;5151.48;3934.77;4292.90
5766.61;3346.76;4193.92;689.43;475320.21;5032.70;3742.09;4193.92
7192.49;3346.76;4203.36;818.68;670241.00;5044.03;3962.45;4203.36
6556.64;3346.76;4393.37;805.65;649070.84;5272.05;3968.26;4393.37
5617.89;3346.76;4167.26;694.91;482905.34;5000.71;3695.85;4167.26
5699.26;3346.76;4088.85;660.09;435723.24;4906.62;3712.02;4088.85
5978.19;3346.76;4219.26;716.79;513792.05;5063.11;3800.68;4219.26
6278.34;3346.76;4225.54;686.20;470866.67;5070.64;3863.76;4225.54
7031.56;3346.76;4305.71;830.46;689659.25;5166.85;4002.76;4305.71
6545.93;3346.76;4237.32;728.56;530801.39;5084.78;3910.40;4237.32
6027.34;3346.76;4193.42;674.99;455610.07;5032.11;3806.23;4193.42
6620.09;3346.76;4147.10;665.37;442718.74;4976.53;3878.68;4147.10
6080.37;3346.76;4186.33;682.11;465272.92;5023.59;3815.20;4186.33
6893.48;3346.76;4389.19;853.46;728400.05;5267.03;4023.78;4389.19
6524.80;3346.76;4172.32;764.68;584739.65;5006.79;3879.48;4172.32
6047.78;3346.76;4254.01;750.93;563890.33;5104.81;3823.69;4254.01
5602.55;3346.76;4199.24;666.21;443830.24;5039.09;3689.05;4199.24
5823.33;3346.76;4261.32;737.75;544274.95;5113.58;3762.32;4261.32
6112.86;3346.76;4146.33;733.04;537341.18;4975.60;3809.16;4146.33
6619.41;3346.76;4341.52;721.72;520878.06;5209.83;3962.33;4341.52
6097.98;3346.76;4231.47;681.06;463839.49;5077.76;3830.34;4231.47
7080.80;3346.76;4241.47;747.47;558705.39;5089.76;3974.16;4241.47
7467.94;3346.76;4203.51;754.02;568552.07;5044.22;3982.87;4203.51
6919.20;3346.76;4344.52;792.24;627644.25;5213.42;4007.80;4344.52
6115.88;3346.76;4163.38;718.10;515661.10;4996.05;3815.12;4163.38
6975.46;3346.76;4305.05;763.66;583179.50;5166.06;3996.07;4305.05
7268.24;3346.76;4241.71;794.73;631598.80;5090.06;3990.86;4241.71
6879.07;3346.76;4237.34;702.49;493494.76;5084.81;3951.64;4237.34
6526.51;3346.76;4185.33;720.18;518653.59;5022.39;3885.51;4185.33
6203.56;3346.76;4219.01;698.78;488299.01;5062.82;3848.14;4219.01
6548.39;3346.76;4267.18;773.37;598094.12;5120.62;3922.84;4267.18
6026.88;3346.76;4207.67;705.17;497258.52;5049.20;3809.43;4207.67
6092.27;3346.76;4117.86;734.24;539109.36;4941.43;3796.22;4117.86
6419.78;3346.76;4285.57;776.43;602840.81;5142.68;3908.54;4285.57
5735.60;3346.76;4269.67;712.52;507678.09;5123.60;3732.06;4269.67
6645.54;3346.76;4246.66;780.64;609392.15;5095.99;3928.05;4246.66
5648.92;3346.76;4087.98;693.76;481299.73;4905.57;3699.74;4087.98
5582.22;3346.76;4241.28;707.33;500309.38;5089.54;3675.42;4241.28
6470.59;3346.76;4277.65;730.58;533747.55;5133.18;3914.48;4277.65
7559.43;3346.76;4288.79;876.47;768204.30;5146.55;4041.74;4288.79
5857.00;3346.76;4084.36;716.08;512777.29;4901.23;3744.46;4084.36
6749.15;3346.76;4226.54;825.14;680851.12;5071.84;3931.73;4226.54
7574.22;3346.76;4393.14;738.38;545211.57;5271.76;4104.12;4393.14
6296.17;3346.76;4336.28;704.13;495805.90;5203.54;3898.42;4336.28
5631.13;3346.76;4398.13;664.62;441717.62;5277.76;3648.08;4398.13
6426.17;3346.76;4248.96;731.06;534450.45;5098.75;3896.82;4248.96
5761.44;3346.76;4110.81;697.81;486941.55;4932.97;3730.25;4110.81
5814.03;3346.76;4231.68;648.84;420988.71;5078.01;3758.37;4231.68
6064.87;3346.76;4067.91;699.90;489866.04;4881.49;3774.11;4067.91
6324.94;3346.76;4111.67;704.37;496132.92;4934.00;3827.47;4111.67
5781.95;3346.76;4088.25;699.75;489651.31;4905.90;3730.29;4088.25
7485.82;3346.76;4171.45;809.39;655112.41;5005.74;3963.86;4171.45
6627.27;3346.76;4182.72;762.84;581921.91;5019.27;3896.65;4182.72
6367.12;3346.76;4272.46;715.10;511370.24;5126.95;3894.83;4272.46
